Date,Year,Month,Origin_Country,Destination_Country,Product_Category,Trade_Volume_USD,Trade_Weight_KG
2020-02-13,2020,2,Mexico,France,Automotive,16367.44,1639.91
2020-02-14,2020,2,USA,Australia,Machinery,13996.96,1007.46
2020-02-14,2020,2,Canada,South Korea,Pharmaceuticals,12231.21,1757.35
2020-02-14,2020,2,Canada,Brazil,Automotive,16227.37,908.91
2020-02-14,2020,2,Spain,France,Mineral Fuels,16507.23,1726.39
2020-02-14,2020,2,France,China,Automotive,15790.28,996.04
2020-02-16,2020,2,Germany,South Korea,Machinery,14039.07,1656.09
2020-02-16,2020,2,Mexico,South Korea,Machinery,13682.22,2323.62
2020-02-17,2020,2,Brazil,India,Iron & Steel,12630.14,1305.87
2020-02-18,2020,2,Canada,Brazil,Iron & Steel,12360.0,941.38
2020-02-18,2020,2,Japan,USA,Automotive,16101.73,2228.97
2020-02-20,2020,2,USA,India,Mineral Fuels,16423.33,1424.66
2020-02-20,2020,2,Spain,Mexico,Agriculture,12106.99,1722.29
2020-02-20,2020,2,UK,Spain,Iron & Steel,12535.78,1713.94
2020-02-21,2020,2,USA,Australia,Electronics,14314.05,760.09
2020-02-21,2020,2,China,Italy,Apparel,11823.84,1205.35
2020-02-22,2020,2,Brazil,Mexico,Pharmaceuticals,12709.74,1400.07
2020-02-22,2020,2,Russia,Brazil,Pharmaceuticals,12529.49,1908.89
2020-02-22,2020,2,France,Russia,Mineral Fuels,16587.69,2175.31
2020-02-22,2020,2,Spain,Australia,Apparel,11823.6,2039.14
2020-02-22,2020,2,China,France,Plastics,11982.51,1016.66
2020-02-23,2020,2,Italy,France,Electronics,15686.42,1180.55
2020-02-23,2020,2,Japan,Mexico,Machinery,14687.44,1904.99
2020-02-23,2020,2,France,Spain,Automotive,16445.65,857.14
2020-02-23,2020,2,Italy,USA,Mineral Fuels,16059.99,847.39
2020-02-23,2020,2,UK,Canada,Agriculture,11014.95,1332.3
2020-02-24,2020,2,Brazil,France,Mineral Fuels,17322.61,1004.89
2020-02-24,2020,2,Japan,UK,Pharmaceuticals,13726.63,1142.43
2020-02-24,2020,2,Mexico,Russia,Iron & Steel,13232.82,2003.63
2020-02-24,2020,2,Brazil,France,Mineral Fuels,16775.89,1502.16
2020-02-25,2020,2,USA,Australia,Automotive,15359.79,974.73
2020-02-25,2020,2,China,UK,Plastics,11219.25,925.73
2020-02-25,2020,2,Australia,Mexico,Pharmaceuticals,12951.64,1416.04
2020-02-26,2020,2,Mexico,Germany,Agriculture,11411.52,703.69
2020-02-26,2020,2,Italy,UK,Mineral Fuels,16562.19,1285.8
2020-02-27,2020,2,South Korea,Italy,Plastics,11990.65,648.8
2020-02-27,2020,2,Brazil,Mexico,Apparel,10728.6,1562.83
2020-02-28,2020,2,China,Russia,Machinery,14303.36,1226.06
2020-02-28,2020,2,South Korea,France,Mineral Fuels,16859.11,1169.15
2020-02-29,2020,2,France,UK,Pharmaceuticals,12721.25,923.34
2020-02-29,2020,2,Brazil,Japan,Automotive,16383.12,1150.18
2020-02-29,2020,2,South Korea,Mexico,Plastics,12554.09,1070.72
2020-02-29,2020,2,Italy,Russia,Pharmaceuticals,12845.23,780.23
2020-02-29,2020,2,USA,Germany,Machinery,14061.34,1116.67
2020-02-29,2020,2,Spain,UK,Agriculture,11840.63,772.05
2020-02-29,2020,2,South Korea,UK,Mineral Fuels,16798.46,2494.93
2020-03-01,2020,3,France,South Korea,Automotive,15646.19,1125.0
2020-03-01,2020,3,Italy,Germany,Apparel,11496.48,705.96
2020-03-01,2020,3,China,Italy,Agriculture,12190.65,1782.38
2020-03-01,2020,3,South Korea,Spain,Pharmaceuticals,12806.32,685.75
2020-03-02,2020,3,South Korea,Australia,Apparel,10637.54,675.4
2020-03-03,2020,3,UK,France,Agriculture,12327.7,929.76
2020-03-03,2020,3,France,Spain,Automotive,16459.61,1688.96
2020-03-03,2020,3,India,Canada,Automotive,15720.85,1281.49
2020-03-04,2020,3,Australia,France,Mineral Fuels,16946.37,1768.46
2020-03-04,2020,3,USA,Canada,Agriculture,11360.21,2063.88
2020-03-04,2020,3,Australia,Canada,Pharmaceuticals,13350.35,837.36
2020-03-04,2020,3,Australia,South Korea,Agriculture,11912.07,1489.75
2020-03-04,2020,3,Mexico,France,Machinery,15030.75,2263.97
2020-03-04,2020,3,Russia,South Korea,Plastics,11126.18,1106.24
2020-03-05,2020,3,South Korea,Spain,Mineral Fuels,17093.23,2189.39
2020-03-05,2020,3,UK,USA,Apparel,10978.98,895.68
2020-03-05,2020,3,India,Italy,Automotive,15860.52,931.75
2020-03-05,2020,3,China,Brazil,Plastics,12387.58,861.34
2020-03-06,2020,3,Italy,Brazil,Plastics,11043.36,823.99
2020-03-06,2020,3,USA,China,Iron & Steel,12328.64,944.2
2020-03-06,2020,3,Japan,South Korea,Machinery,13969.0,2207.28
2020-03-07,2020,3,France,South Korea,Pharmaceuticals,12602.22,1093.56
2020-03-07,2020,3,India,China,Machinery,14246.49,1246.0
2020-03-07,2020,3,Germany,Spain,Machinery,13461.31,756.45
2020-03-07,2020,3,India,Spain,Machinery,13998.2,806.91
2020-03-07,2020,3,Canada,UK,Electronics,15790.27,1888.72
2020-03-08,2020,3,USA,Australia,Machinery,15082.5,1969.37
2020-03-08,2020,3,France,USA,Pharmaceuticals,13292.16,688.76
2020-03-08,2020,3,Italy,Spain,Agriculture,11419.11,1245.94
2020-03-09,2020,3,India,South Korea,Agriculture,11512.94,789.03
2020-03-09,2020,3,India,Canada,Pharmaceuticals,12964.75,1229.51
2020-03-09,2020,3,Russia,Spain,Apparel,12312.98,918.19
2020-03-10,2020,3,UK,France,Iron & Steel,12264.44,1752.88
2020-03-11,2020,3,Spain,Japan,Pharmaceuticals,12610.58,667.85
2020-03-12,2020,3,Germany,Canada,Mineral Fuels,15890.83,1474.59
2020-03-12,2020,3,Russia,Germany,Electronics,14691.82,1413.57
2020-03-13,2020,3,China,Brazil,Mineral Fuels,16721.94,1803.6
2020-03-13,2020,3,Germany,Brazil,Agriculture,11921.13,702.79
2020-03-14,2020,3,Spain,France,Iron & Steel,11809.95,1236.62
2020-03-14,2020,3,UK,Germany,Electronics,14640.8,932.56
2020-03-15,2020,3,South Korea,Mexico,Apparel,12226.23,927.11
2020-03-15,2020,3,Brazil,Mexico,Mineral Fuels,17204.88,2351.48
2020-03-16,2020,3,USA,Russia,Automotive,16089.95,839.72
2020-03-16,2020,3,France,UK,Electronics,15307.89,2662.92
2020-03-16,2020,3,France,Brazil,Machinery,14038.41,1172.81
2020-03-16,2020,3,Italy,Brazil,Agriculture,12208.22,991.18
2020-03-17,2020,3,Brazil,Mexico,Mineral Fuels,17276.69,1082.55
2020-03-17,2020,3,South Korea,USA,Automotive,16352.25,2264.74
2020-03-17,2020,3,Germany,Canada,Machinery,13623.29,784.36
2020-03-17,2020,3,South Korea,Japan,Machinery,13562.78,1521.11
2020-03-17,2020,3,Mexico,Canada,Agriculture,11760.25,1060.66
2020-03-18,2020,3,UK,USA,Mineral Fuels,17280.46,936.62
2020-03-18,2020,3,USA,Canada,Apparel,11260.62,830.11
2020-03-18,2020,3,South Korea,China,Plastics,12335.97,699.62
2020-03-18,2020,3,Germany,Japan,Iron & Steel,12345.4,1199.85
2020-03-19,2020,3,Japan,Italy,Iron & Steel,12174.68,1086.0
2020-03-19,2020,3,France,China,Machinery,13310.19,1128.77
2020-03-20,2020,3,Germany,Japan,Electronics,15822.48,1401.0
2020-03-20,2020,3,Brazil,Russia,Agriculture,12874.79,752.41
2020-03-20,2020,3,Spain,China,Automotive,15770.68,2039.24
2020-03-21,2020,3,India,UK,Machinery,13941.89,1362.07
2020-03-21,2020,3,UK,Australia,Automotive,15588.23,2961.82
2020-03-21,2020,3,Mexico,Canada,Machinery,13894.43,805.55
2020-03-21,2020,3,Germany,Spain,Mineral Fuels,16906.51,906.04
2020-03-21,2020,3,UK,Russia,Agriculture,11659.31,1037.4
2020-03-22,2020,3,India,France,Plastics,12003.94,1064.74
2020-03-22,2020,3,USA,Spain,Automotive,15746.53,2050.44
2020-03-22,2020,3,Brazil,Spain,Mineral Fuels,17306.76,1067.18
2020-03-22,2020,3,USA,UK,Iron & Steel,12030.06,1442.75
2020-03-23,2020,3,Spain,USA,Iron & Steel,11579.56,587.71
2020-03-23,2020,3,Russia,Spain,Machinery,13291.89,827.86
2020-03-23,2020,3,USA,Australia,Electronics,14781.62,823.59
2020-03-23,2020,3,China,India,Apparel,11480.75,757.62
2020-03-25,2020,3,Japan,USA,Automotive,16950.6,2508.03
2020-03-25,2020,3,India,Italy,Electronics,15540.39,2150.9
2020-03-25,2020,3,Canada,Germany,Apparel,13054.96,1385.27
2020-03-26,2020,3,France,South Korea,Plastics,13047.92,1703.71
2020-03-26,2020,3,China,UK,Pharmaceuticals,13300.6,2426.21
2020-03-26,2020,3,Brazil,Russia,Plastics,11347.77,1462.41
2020-03-27,2020,3,Australia,India,Iron & Steel,12213.2,2027.71
2020-03-27,2020,3,Japan,Spain,Automotive,15499.83,1836.31
2020-03-27,2020,3,UK,France,Apparel,11002.09,1511.97
2020-03-28,2020,3,India,UK,Pharmaceuticals,12650.9,671.56
2020-03-28,2020,3,Mexico,UK,Iron & Steel,12223.46,1339.32
2020-03-28,2020,3,Mexico,Italy,Apparel,12020.86,1138.7
2020-03-29,2020,3,South Korea,Mexico,Automotive,15724.07,3032.57
2020-03-29,2020,3,China,Australia,Agriculture,12171.81,677.24
2020-03-30,2020,3,France,Spain,Iron & Steel,12879.46,2067.59
2020-03-30,2020,3,Brazil,South Korea,Iron & Steel,12819.03,1908.3
2020-03-30,2020,3,UK,Brazil,Automotive,15448.87,791.06
2020-03-30,2020,3,India,China,Automotive,16560.52,1090.37
2020-03-30,2020,3,China,Russia,Mineral Fuels,16774.91,2349.54
2020-03-31,2020,3,Germany,USA,Iron & Steel,12791.29,1912.2
2020-03-31,2020,3,Russia,Brazil,Apparel,11608.39,853.55
2020-03-31,2020,3,Mexico,USA,Electronics,15033.76,1725.86
2020-03-31,2020,3,Germany,China,Mineral Fuels,17456.89,1197.41
2020-03-31,2020,3,Spain,Russia,Plastics,12049.67,2010.56
2020-03-31,2020,3,Mexico,China,Pharmaceuticals,12931.31,687.48
2020-04-01,2020,4,Spain,India,Apparel,12052.95,1665.82
2020-04-01,2020,4,Japan,Russia,Electronics,14797.82,1248.16
2020-04-02,2020,4,Australia,Brazil,Mineral Fuels,17016.0,2120.23
2020-04-02,2020,4,UK,Mexico,Electronics,14350.21,758.54
2020-04-02,2020,4,India,Australia,Machinery,13754.42,1572.53
2020-04-02,2020,4,Spain,Brazil,Apparel,10696.71,865.81
2020-04-03,2020,4,Japan,Canada,Automotive,15812.18,1076.66
2020-04-03,2020,4,USA,Australia,Apparel,11247.61,1132.89
2020-04-03,2020,4,Italy,Germany,Agriculture,11846.11,2029.81
2020-04-03,2020,4,UK,Italy,Mineral Fuels,16674.67,920.24
2020-04-03,2020,4,Germany,UK,Machinery,14267.25,730.66
2020-04-03,2020,4,India,UK,Mineral Fuels,16043.87,2420.85
2020-04-03,2020,4,Spain,UK,Electronics,14401.9,867.33
2020-04-04,2020,4,Brazil,France,Machinery,13852.77,1100.75
2020-04-04,2020,4,Canada,India,Electronics,14315.1,1928.94
2020-04-04,2020,4,Australia,France,Plastics,11982.5,1860.25
2020-04-04,2020,4,Italy,Australia,Automotive,15761.17,2247.05
2020-04-04,2020,4,Canada,Australia,Plastics,11803.47,1109.38
2020-04-04,2020,4,Russia,Germany,Electronics,15927.75,1520.36
2020-04-05,2020,4,Russia,France,Iron & Steel,13035.31,677.35
2020-04-06,2020,4,South Korea,Mexico,Automotive,16236.8,1012.35
2020-04-06,2020,4,Italy,Canada,Iron & Steel,12406.34,861.02
2020-04-07,2020,4,Brazil,USA,Agriculture,12519.56,2320.01
2020-04-07,2020,4,South Korea,Brazil,Apparel,11606.65,590.81
2020-04-08,2020,4,Germany,UK,Iron & Steel,12620.62,1554.52
2020-04-08,2020,4,Russia,Australia,Plastics,12434.39,793.95
2020-04-08,2020,4,Russia,France,Mineral Fuels,17579.69,2366.86
2020-04-09,2020,4,Germany,Mexico,Automotive,15992.95,2906.6
2020-04-09,2020,4,Germany,South Korea,Machinery,14445.1,1927.82
2020-04-09,2020,4,Mexico,Australia,Plastics,11356.42,613.68
2020-04-09,2020,4,France,India,Mineral Fuels,16505.02,1196.63
2020-04-09,2020,4,Australia,Russia,Iron & Steel,13238.47,768.37
2020-04-10,2020,4,Canada,Italy,Automotive,16160.85,2241.1
2020-04-10,2020,4,India,Russia,Plastics,12382.94,921.99
2020-04-10,2020,4,Spain,Germany,Plastics,10915.16,559.78
2020-04-11,2020,4,Japan,Mexico,Iron & Steel,13206.11,846.45
2020-04-11,2020,4,Canada,India,Agriculture,12512.55,673.62
2020-04-11,2020,4,Mexico,Japan,Electronics,14716.8,974.82
2020-04-12,2020,4,Russia,USA,Apparel,11318.19,889.55
2020-04-12,2020,4,South Korea,Russia,Plastics,11751.73,1048.16
2020-04-12,2020,4,Germany,France,Machinery,13590.89,1556.65
2020-04-12,2020,4,China,Japan,Agriculture,12362.88,2009.27
2020-04-13,2020,4,Germany,Brazil,Mineral Fuels,16898.51,3346.2
2020-04-13,2020,4,Brazil,Spain,Machinery,14517.62,2598.96
2020-04-13,2020,4,Australia,Italy,Plastics,12331.44,626.91
2020-04-13,2020,4,China,France,Automotive,15044.18,779.03
2020-04-13,2020,4,Mexico,Spain,Agriculture,11323.66,804.63
2020-04-13,2020,4,Spain,Mexico,Automotive,15971.3,1346.24
2020-04-13,2020,4,Brazil,South Korea,Electronics,15294.16,998.54
2020-04-14,2020,4,India,Mexico,Plastics,12166.16,677.24
2020-04-14,2020,4,India,France,Iron & Steel,12905.7,678.73
2020-04-15,2020,4,Germany,India,Apparel,11140.58,1441.81
2020-04-15,2020,4,Brazil,South Korea,Automotive,16429.79,1009.16
2020-04-15,2020,4,Germany,Russia,Apparel,11866.32,609.84
2020-04-15,2020,4,Germany,France,Electronics,14321.71,806.99
2020-04-15,2020,4,Russia,Italy,Plastics,12188.61,1625.28
2020-04-16,2020,4,Germany,USA,Machinery,14514.73,913.67
2020-04-16,2020,4,Brazil,Spain,Plastics,12134.56,649.23
2020-04-16,2020,4,Canada,Spain,Pharmaceuticals,13514.58,2146.15
2020-04-17,2020,4,South Korea,Brazil,Machinery,13607.55,1360.96
2020-04-17,2020,4,Germany,UK,Electronics,15211.8,994.24
2020-04-17,2020,4,Mexico,France,Electronics,15029.01,1521.88
2020-04-17,2020,4,Russia,Italy,Automotive,16180.75,3021.46
2020-04-17,2020,4,USA,Canada,Agriculture,11956.28,757.31
2020-04-19,2020,4,India,Australia,Agriculture,12121.9,1027.42
2020-04-19,2020,4,Spain,Japan,Mineral Fuels,17248.1,1150.35
2020-04-19,2020,4,Australia,USA,Plastics,12221.5,1181.67
2020-04-19,2020,4,South Korea,UK,Plastics,12044.79,652.18
2020-04-19,2020,4,Spain,Russia,Iron & Steel,13349.72,810.92
2020-04-19,2020,4,Germany,Russia,Machinery,13980.63,718.62
2020-04-20,2020,4,UK,Japan,Plastics,11487.81,1177.85
2020-04-20,2020,4,Japan,China,Machinery,13959.54,1076.0
2020-04-21,2020,4,Mexico,Australia,Iron & Steel,13015.14,762.47
2020-04-21,2020,4,India,Canada,Iron & Steel,12609.58,884.63
2020-04-21,2020,4,India,Australia,Plastics,12112.88,663.64
2020-04-21,2020,4,South Korea,Japan,Apparel,11219.62,720.65
2020-04-22,2020,4,Australia,China,Apparel,11192.84,680.13
2020-04-22,2020,4,Canada,South Korea,Automotive,15816.59,1417.16
2020-04-23,2020,4,France,Japan,Automotive,15747.91,833.85
2020-04-23,2020,4,Brazil,Germany,Iron & Steel,12621.5,767.52
2020-04-23,2020,4,Germany,South Korea,Automotive,15774.17,977.97
2020-04-24,2020,4,Spain,Russia,Plastics,11292.31,583.25
2020-04-24,2020,4,China,India,Automotive,15441.41,870.96
2020-04-24,2020,4,France,Russia,Machinery,15289.85,875.83
2020-04-24,2020,4,Germany,France,Agriculture,11761.29,657.38
2020-04-25,2020,4,France,Germany,Pharmaceuticals,14174.54,882.9
2020-04-25,2020,4,India,France,Plastics,11725.87,1140.02
2020-04-25,2020,4,India,France,Machinery,13653.79,1505.98
2020-04-25,2020,4,Italy,USA,Machinery,13973.45,1127.03
2020-04-26,2020,4,Brazil,France,Apparel,11123.92,722.27
2020-04-26,2020,4,Mexico,South Korea,Machinery,13875.69,1544.24
2020-04-26,2020,4,Brazil,Russia,Pharmaceuticals,13312.06,2502.13
2020-04-27,2020,4,Italy,Mexico,Automotive,16025.44,1890.78
2020-04-27,2020,4,USA,Australia,Apparel,11797.58,769.77
2020-04-28,2020,4,South Korea,UK,Electronics,14787.88,755.9
2020-04-28,2020,4,Italy,South Korea,Automotive,15701.17,2485.97
2020-04-28,2020,4,Germany,Brazil,Electronics,15447.68,1179.92
2020-04-28,2020,4,Germany,USA,Apparel,11500.81,674.48
2020-04-28,2020,4,France,Italy,Plastics,11576.6,680.46
2020-04-28,2020,4,South Korea,Japan,Automotive,16518.04,1659.22
2020-04-29,2020,4,China,Canada,Iron & Steel,11740.54,1284.17
2020-04-29,2020,4,India,Canada,Mineral Fuels,17340.98,2172.82
2020-04-30,2020,4,USA,Japan,Electronics,15314.81,783.54
2020-04-30,2020,4,Russia,China,Mineral Fuels,16630.11,1039.96
2020-04-30,2020,4,France,Brazil,Iron & Steel,11726.35,984.69
2020-04-30,2020,4,China,Russia,Agriculture,13071.97,1098.39
2020-05-01,2020,5,Italy,Spain,Machinery,13454.9,687.96
2020-05-01,2020,5,Australia,UK,Plastics,12479.19,1110.94
2020-05-01,2020,5,UK,Brazil,Plastics,12299.4,1725.2
2020-05-01,2020,5,Italy,Russia,Agriculture,11388.55,697.72
2020-05-02,2020,5,Italy,Spain,Pharmaceuticals,13155.55,731.09
2020-05-02,2020,5,Italy,Mexico,Apparel,10287.88,711.17
2020-05-02,2020,5,Japan,Spain,Mineral Fuels,17524.78,1880.46
2020-05-02,2020,5,Australia,China,Plastics,11821.49,764.92
2020-05-03,2020,5,Spain,USA,Machinery,14095.21,838.78
2020-05-03,2020,5,Canada,Mexico,Agriculture,12098.26,1378.39
2020-05-03,2020,5,China,UK,Electronics,14837.19,961.5
2020-05-03,2020,5,Russia,France,Electronics,15437.26,912.75
2020-05-04,2020,5,South Korea,Italy,Plastics,12604.18,732.23
2020-05-04,2020,5,Germany,Italy,Mineral Fuels,16934.93,1229.8
2020-05-04,2020,5,China,France,Electronics,14942.39,1414.34
2020-05-04,2020,5,USA,Brazil,Agriculture,11448.4,1730.6
2020-05-04,2020,5,Germany,Russia,Pharmaceuticals,12779.98,855.97
2020-05-04,2020,5,Mexico,Spain,Mineral Fuels,16681.35,1174.64
2020-05-04,2020,5,South Korea,Japan,Plastics,12779.39,641.58
2020-05-06,2020,5,Mexico,Japan,Agriculture,12480.99,1550.86
2020-05-06,2020,5,Brazil,Canada,Iron & Steel,12332.43,1545.5
